City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
2450173,Taoudenni,ML,22.6783,-3.9836,116.28,8,77,3.13
3883457,Lebu,CL,-37.6167,-73.65,57.36,81,98,5.46
5557293,Sitka,US,57.0531,-135.33,58.89,82,100,8.05
524901,Moscow,RU,55.7522,37.6156,71.96,52,89,4.41
5282297,Bethel,US,41.3712,-73.414,71.87,58,0,10.36
5970458,Happy Valley-Goose Bay,CA,53.3168,-60.3315,59.31,67,100,8.05
4032804,Waitangi,NZ,-43.9535,-176.5597,46.81,80,96,19.04
2188874,Kerikeri,NZ,-35.2268,173.9474,44.2,94,8,3.06
2351470,Alo,NG,7.4178,6.7371,82.02,83,100,4.65
2315728,Gemena,CD,3.25,19.7667,81.84,72,58,0.38
2729907,Longyearbyen,SJ,78.2186,15.6401,49.84,53,75,12.66
1500933,Labytnangi,RU,66.6572,66.4183,66.85,64,42,7.18
1295765,Sittwe,MM,20.15,92.9,81.93,87,85,20.42
5746545,Portland,US,45.5234,-122.6762,64.51,69,40,5.75
1213721,Sinabang,ID,2.4803,96.3801,79.68,84,100,4.81
3366880,Hermanus,ZA,-34.4187,19.2345,54.81,80,99,26.02
1546102,Port-aux-Français,TF,-49.35,70.2167,35.04,68,30,34.9
1489853,Tazovsky,RU,67.4667,78.7,58.93,77,99,11.86
3370726,Edinburgh of the Seven Seas,SH,-37.0676,-12.3116,59.07,82,100,32.86
3461370,Imbituba,BR,-28.24,-48.6703,64.85,53,0,12.71
3380892,Rémire-Montjoly,GF,4.9167,-52.2667,87.84,70,40,12.66
1006984,East London,ZA,-33.0153,27.9116,58.14,44,0,16.11
4030723,Adamstown,PN,-25.066,-130.1015,65.01,61,95,22.59
7306520,Rongelap,MH,11.1635,166.8941,82.72,81,100,16.6
5879898,Badger,US,64.8,-147.5333,60.12,86,100,3.44
3946083,Callao,PE,-12.0667,-77.15,70.09,73,100,11.5
3905792,San Borja,BO,-14.8167,-66.85,89.26,39,10,0.56
5519648,Crane,US,31.3974,-102.3501,86.79,35,6,12.15
2189529,Invercargill,NZ,-46.4,168.35,51.03,73,67,11.99
1545752,Port Mathurin,MU,-19.6833,63.4167,74.17,73,1,19.89
3874958,Puerto Natales,CL,-51.7236,-72.4875,36.54,73,30,11.34
2988350,Pauillac,FR,45.1964,-0.7487,77.38,45,95,10.74
2156643,Mount Gambier,AU,-37.8333,140.7667,51.67,73,2,12.48
2120048,Ust-Nera,RU,64.5667,143.2,50.54,82,100,6.4
2092164,Lorengau,PG,-2.0226,147.2712,80.76,78,30,5.91
3423146,Ilulissat,GL,69.2167,-51.1,46.42,81,75,3.44
1808872,Fu’an,CN,27.0892,119.6453,75.78,97,100,1.32
2185172,Papatowai,NZ,-46.5619,169.4708,46.78,76,12,9.51
5106841,Albany,US,42.6001,-73.9662,69.24,62,3,3.0
932987,Tshabong,BW,-26.05,22.45,48.47,25,0,10.78
6165406,Thompson,CA,55.7435,-97.8558,69.96,60,0,2.3
5994839,Labrador City,CA,52.9463,-66.9114,55.31,71,75,12.66
2120864,Susuman,RU,62.7833,148.1667,49.84,74,98,4.88
7535941,Olonkinbyen,SJ,70.9221,-8.7187,43.41,85,100,3.06
1254046,Tura,IN,25.5198,90.2201,79.3,85,39,2.77
3426466,Grytviken,GS,-54.2811,-36.5092,34.68,99,100,11.12
57000,Hobyo,SO,5.3505,48.5268,77.04,82,18,25.9
7262802,Wailua Homesteads,US,22.0669,-159.378,71.08,88,100,11.5
6173864,Vernon,CA,50.2581,-119.2691,70.43,46,99,7.0
6141256,Saskatoon,CA,52.1168,-106.6345,67.98,45,0,13.8
2112309,Katsuura,JP,35.1333,140.3,79.68,86,27,14.03
3359638,Walvis Bay,NA,-22.9575,14.5053,58.08,52,0,29.39
2381690,Akjoujt,MR,19.6969,-14.4164,101.08,25,100,17.0
2377457,Nouadhibou,MR,20.931,-17.0347,68.88,91,18,19.08
935214,Saint-Pierre,RE,-21.3393,55.4781,67.68,68,0,5.75
311054,İvrindi,TR,39.5839,27.4864,82.26,33,0,16.13
2066981,Margaret River,AU,-33.95,115.0667,57.2,75,94,7.34
310907,Kadınhanı,TR,38.2397,32.2114,83.03,21,0,12.86
1015776,Bredasdorp,ZA,-34.5322,20.0403,50.77,71,64,23.33
1052373,Beira,MZ,-19.8436,34.8389,77.09,78,20,10.47
2771557,Mistelbach,AT,48.57,16.5767,73.04,56,59,3.4
2027296,Aykhal,RU,66.0,111.5,61.66,55,1,7.56
933995,Souillac,MU,-20.5167,57.5167,71.98,68,40,8.05
